STATION_NAME,PGA_VALUE,PGA_LN_SIGMA,LATITUDE,LONGITUDE,STATION_ID,STATION_TYPE,REFERENCES,VS30,MMI_VALUE,MMI_STDDEV,PGV_LN_SIGMA,PGV_VALUE,SA(0.3)_LN_SIGMA,SA(0.3)_VALUE,SA(1.0)_LN_SIGMA,SA(1.0)_VALUE,SA(3.0)_LN_SIGMA,SA(3.0)_VALUE,VS30_TYPE
CHBH141103111446,0.1737106963132163,0.0,35.7342,140.823,CHBH14,seismic,Stations_NIED,,,,,,,,,,,,
SIT0101103111446,0.1735240882462413,0.0,35.9071,139.6478,SIT010,seismic,Stations_NIED,,,,,,,,,,,,
GNM0031103111446,0.170718848944339,0.0,36.6581,139.0786,GNM003,seismic,Stations_NIED,,,,,,,,,,,,
TCG0071103111446,0.1694074938944494,0.0,36.5677,139.8873,TCG007,seismic,Stations_NIED,,,,,,,,,,,,
TCG0101103111446,0.1689476018823964,0.0,36.6348,139.4379,TCG010,seismic,Stations_NIED,,,,,,,,,,,,
KNG0021103111446,0.1680635079257445,0.0,35.4372,139.6334,KNG002,seismic,Stations_NIED,,,,,,,,,,,,
TKY0211103111446,0.1674445401844669,0.0,35.6875,139.819,TKY021,seismic,Stations_NIED,,,,,,,,,,,,
IWT0251103111446,0.167347667144234,0.0,39.5169,140.8299,IWT025,seismic,Stations_NIED,,,,,,,,,,,,
KNG0131103111446,0.1668153752810595,0.0,35.2642,139.1521,KNG013,seismic,Stations_NIED,,,,,,,,,,,,
GNM0061103111446,0.1664289028363409,0.0,36.5105,138.7527,GNM006,seismic,Stations_NIED,,,,,,,,,,,,
