# 20200322_M5.1_Zagreb median gmf, Stations:None, gmlt:GEM, Rupture:Heraketal2021
custom_site_id,lon,lat,KothaEtAl2020ESHM20SlopeGeology,"KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = -1.73205100","KothaEtAl2020ESHM20SlopeGeology
c3_epsilon = 1.73205100","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = -1.35563000","KothaEtAl2020ESHM20SlopeGeology
sigma_mu_epsilon = 1.35563000"
t_109,15.430710000000005,44.83441,0.003226447,0.0026602645,0.0039131297,0.001993226,0.0052226693
t_1090,15.251049999999992,46.46691,0.0056295707,0.005005075,0.006331986,0.0034778214,0.009112621
t_1091,15.071380000000005,46.405,0.0056988094,0.005011861,0.0064799134,0.0035205954,0.009224698
t_1092,14.891719999999992,46.405,0.0045424337,0.003903135,0.0052864435,0.0028062125,0.007352865
t_1093,14.981549999999999,46.46691,0.004236576,0.0036508767,0.004916237,0.0026172607,0.0068577714
t_1094,15.071380000000005,46.46691,0.0051544784,0.004490622,0.005916474,0.00318432,0.008343586
t_1095,14.891719999999992,46.46691,0.0038023302,0.0032397602,0.004462588,0.0023489934,0.0061548552
t_1096,14.891719999999992,46.52875,0.0038844943,0.0032800622,0.004600308,0.0023997526,0.0062878546
t_1097,15.071380000000005,46.52875,0.00490219,0.004228401,0.0056833457,0.003028462,0.0079352055
t_1098,14.981549999999999,46.52875,0.0047795526,0.0040799044,0.0055991802,0.0029526993,0.007736691
t_1099,15.071380000000005,46.59052,0.0043545696,0.003716951,0.0051015676,0.0026901546,0.007048769
t_11,15.520540000000011,44.38676,0.0015282552,0.0011448065,0.0020401387,0.00094412145,0.002473796
t_110,15.251049999999992,44.83441,0.0030133168,0.002454379,0.0036995418,0.0018615589,0.0048776744
t_1100,15.340879999999999,46.52875,0.005695552,0.0050515346,0.006421674,0.003518583,0.009219425
t_1101,15.251049999999992,46.52875,0.0047708442,0.0041949823,0.0054257573,0.0029473195,0.007722595
t_1102,15.430710000000005,46.52875,0.006153925,0.0055011767,0.0068841255,0.0038017556,0.009961396
t_1103,15.161220000000014,46.52875,0.0044947797,0.003915586,0.005159647,0.002776773,0.007275727
t_1104,15.430710000000005,46.59052,0.0055533727,0.004902735,0.0062903557,0.003430748,0.008989278
t_1105,15.340879999999999,46.59052,0.005306292,0.0046502487,0.006054887,0.003278107,0.008589326
t_1106,15.251049999999992,46.59052,0.004777294,0.00415276,0.005495752,0.002951304,0.007733035
t_1107,15.161220000000014,46.59052,0.004886595,0.004210515,0.005671233,0.0030188276,0.007909961
t_1108,15.161220000000014,46.65222,0.004383599,0.0037345127,0.005145501,0.0027080881,0.0070957583
t_1109,15.340879999999999,46.65222,0.004576374,0.0039616292,0.005286512,0.0028271803,0.007407805
t_111,15.161220000000014,44.89808,0.0034965666,0.0028643615,0.004268308,0.0021600996,0.0056599136
t_1110,15.610369999999989,46.59052,0.006175222,0.0055189617,0.0069095185,0.0038149124,0.009995869
t_1111,15.520540000000011,46.59052,0.0059957816,0.0053278264,0.0067474796,0.0037040582,0.0097054085
t_1112,15.610369999999989,46.65222,0.0068853046,0.006072584,0.007806795,0.0042535854,0.011145285
t_1113,15.520540000000011,46.65222,0.0059894193,0.0052525923,0.006829607,0.0037001276,0.00969511
t_1114,15.430710000000005,46.65222,0.00485445,0.004231473,0.0055691446,0.0029989693,0.007857928
t_1115,15.251049999999992,46.65222,0.0043803016,0.003762955,0.005098929,0.002706051,0.007090421
t_1116,18.21548999999999,42.69386,0.00015327687,0.00010285634,0.00022841372,9.469098e-05,0.0002481102
t_1117,18.44006999999999,42.69386,0.00011479323,7.634822e-05,0.00017259717,7.0916656e-05,0.0001858165
t_1118,17.09259,43.3506,0.0003407552,0.00025561993,0.00045424514,0.00021051086,0.00055158255
t_1119,16.64344,43.3506,0.0004233529,0.00032054886,0.0005591275,0.00026153785,0.000685284
t_112,15.430710000000005,44.89808,0.0035821123,0.0029945734,0.004284927,0.002212948,0.0057983873
t_1120,16.64344,43.51369,0.00042734703,0.0003299909,0.0005534258,0.00026400533,0.0006917493
t_1121,16.64344,43.67634,0.00059029396,0.00046480988,0.00074965484,0.00036467027,0.0009555125
t_1122,16.64344,43.83854,0.00094242085,0.00061934715,0.0014340213,0.00058220624,0.0015255024
t_1123,16.418859999999995,43.51369,0.0007718002,0.00047358513,0.0012578003,0.0004768007,0.0012493177
t_1124,16.418859999999995,43.67634,0.00080285134,0.000511599,0.001259913,0.00049598335,0.0012995803
t_1125,16.418859999999995,43.83854,0.0008377047,0.00055426784,0.0012660831,0.000517515,0.0013559978
t_1126,16.418859999999995,44.00031,0.0011047702,0.0007588643,0.0016083472,0.000682502,0.0017882983
t_1127,16.86802,43.51369,0.00054167374,0.00041646173,0.00070453156,0.00033463378,0.00087681063
t_1128,16.86802,43.67634,0.0005229262,0.00040986072,0.0006671824,0.000323052,0.0008464639
t_1129,17.990909999999985,42.85871,0.00024407722,0.00016822483,0.0003541314,0.00015078537,0.0003950893
t_113,15.340879999999999,44.89808,0.0033425658,0.002777397,0.00402274,0.0020649615,0.0054106317
t_1130,17.76633000000001,42.85871,0.00018493431,0.00012844772,0.00026626163,0.00011424823,0.00029935432
t_1131,17.317170000000004,43.18708,0.0002689768,0.00019675515,0.00036770833,0.00016616777,0.00043539435
t_1132,17.317170000000004,43.3506,0.00035357312,0.0002635673,0.00047431514,0.00021842947,0.00057233096
t_1133,17.09259,43.51369,0.00050410005,0.0003854318,0.00065930444,0.0003114216,0.0008159899
t_1134,17.541750000000008,42.85871,0.00019132326,0.00013384955,0.0002734756,0.000118195174,0.00030969613
t_1135,17.541750000000008,43.02311,0.00030880384,0.00022016135,0.000433136,0.00019077203,0.00049986265
t_1136,18.035830000000004,45.08866,0.002381391,0.0017510445,0.003238651,0.0014711693,0.0038547718
